sample,unmapped,Reads_pe,Bases_pe
EGAF00004983188,22.120798,19565125,3885404594
EGAF00004983189,22.142427,11248238,2232969874
EGAF00004983190,22.838915,10269683,2018630803
EGAF00004983191,23.95222,13586430,2662197253
EGAF00004983192,22.434538,15443126,3022953000
EGAF00004983193,23.468214,16975097,3343570521
EGAF00004983194,24.850666,17232610,3360542206
EGAF00004983195,23.685955,26531109,5204546423
EGAF00004983196,25.498653,11089837,2193671109
EGAF00004983197,20.897919,10643396,2109607578
EGAF00004983198,23.0564,22963316,4531483865
EGAF00004983199,20.232986,11313654,2224263379
EGAF00004983200,24.449963,16238818,3186941361
EGAF00004983201,24.421429,18126549,3486608044
EGAF00004983202,23.37001,14177039,2806631937
EGAF00004983203,23.856682,17503900,3429063671
EGAF00004983204,26.619423,11334606,2214680653
EGAF00004983205,21.558279,14213413,2797316506
EGAF00004983206,27.403433,10360827,2024023677
EGAF00004983207,26.022703,12691956,2497821863
EGAF00004983208,24.915928,20429471,4021133080
EGAF00004983209,22.935581,10781605,2132915064
EGAF00004983210,26.993496,12639167,2470260434
EGAF00004983211,19.259972,14433921,2843498499
EGAF00004983212,24.49165,9128955,1789140541
EGAF00004983213,25.372965,13285971,2625688438
EGAF00004983214,25.061083,16984323,3337680513
EGAF00004983215,21.119219,14588826,2870524530
EGAF00004983216,22.91478,11311159,2245634720
EGAF00004983217,19.42556,15718876,3106905555
EGAF00004983218,20.211542,16054713,3165200761
EGAF00004983219,19.422924,16229599,3160221690
EGAF00004983220,24.190044,12692531,2487477996
EGAF00004983221,25.802315,12529861,2486223962
EGAF00004983222,27.498371,9584850,1874120122
EGAF00004983223,28.536606,8604891,1685121018
EGAF00004983224,24.137634,15643846,3054757782
EGAF00004983225,18.799479,13913159,2736635250
EGAF00004983226,26.894743,11655368,2274518968
EGAF00004983227,24.537611,12212407,2400942308
EGAF00004983228,23.81959,12105201,2371915125
EGAF00004983229,28.065718,11988310,2349103841
EGAF00004983230,26.954948,7899023,1551743877
